,Unnamed: 0.1,mood,id,title,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0,happy,6VrLYoQKdhu1Jruei06t65,Somebody To You,The Vamps,0.526,0.818,3,-5.952,1,0.0358,0.0587,0.0,0.333,0.896,171.96,185098,4
1,1,happy,4UxATpWvXewD5EZUW01EeQ,Thelma + Louise,Bastille,0.766,0.83,9,-3.335,1,0.1,0.0146,0.0,0.035,0.756,121.948,137477,4
2,2,happy,43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,Taylor Swift,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4
3,3,happy,5YqdiryRmdAzYFlxo43hAJ,Missing Piece,Vance Joy,0.628,0.877,0,-4.205,1,0.046,0.0155,5.97e-06,0.113,0.721,101.992,217408,4
4,4,happy,6nACZEZIt1CIBmF09r5Pb5,Remember This,Jonas Brothers,0.669,0.629,1,-5.018,0,0.0803,0.217,0.0,0.366,0.294,110.865,178222,4
5,5,happy,3cwaaelWghY5W6Lsj1K8ss,Way Less Sad,AJR,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015,206108,4
6,6,happy,5r43qanLhUCdBj8HN3fa6B,Sunshine,OneRepublic,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,163855,4
7,7,happy,34evGV6SaoRLHTcXXUVOpb,90s Kids,Jax,0.714,0.657,0,-6.436,1,0.118,0.0802,0.0,0.35,0.725,151.898,163816,4
8,8,happy,29fRTIKsJhLUJoldM89GZS,You Need To Calm Down,Taylor Swift,0.768,0.678,2,-5.604,1,0.0505,0.00838,0.0,0.0596,0.706,85.025,171387,4
9,9,happy,1UotQ5kMAEiCJVisAVkxOh,In Betweenin',AUSTN,0.705,0.824,2,-4.825,1,0.0347,0.18,0.0,0.0901,0.925,146.999,192046,4
10,10,happy,50kmOL6NMU98y6eJTlSicJ,The Good Part,AJR,0.291,0.443,5,-5.376,1,0.0369,0.0922,2.82e-05,0.382,0.532,185.934,227267,4
11,11,happy,3oiLlbBynuErymca4Dwp5H,Get To Know You,Samantha Harvey,0.761,0.695,5,-4.048,1,0.0886,0.0783,0.0,0.14,0.69,118.004,201667,4
12,12,happy,4LmN3eU1R1vVEdKuDELpGk,All I Know So Far,P!nk,0.578,0.639,4,-5.749,1,0.0374,0.0586,0.0,0.0944,0.296,108.045,277413,4
13,13,happy,0ZXdzaT1k688dkpNeEgQiV,I Don't Know Why,Astrid S,0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04,207668,4
14,14,happy,4Sib57MmYGJzSvkW84jTwh,ME! (feat. Brendon Urie of Panic! At The Disco),Brendon Urie,0.614,0.839,0,-4.143,1,0.0702,0.0291,0.0,0.112,0.657,182.123,193040,4
15,15,happy,4CbrNGvwVjneG8Nk9YQqMR,A-O-K,Tai Verdes,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,173640,4
16,16,happy,2WJVFqVQ3ivhAoAQWzEzeL,Starstruck,Years & Years,0.555,0.879,9,-2.484,0,0.0983,0.011,0.0,0.298,0.691,113.852,207755,4
17,17,happy,763ynRN90zLEp9hrNNINjl,Lease On Life,Andy Grammer,0.704,0.701,2,-5.44,1,0.0596,0.0593,0.0,0.126,0.606,88.016,168163,4
18,18,happy,6QTPacyXkZWG9FMwq6L1hJ,Love You For A Long Time,Maggie Rogers,0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993,223120,4
19,19,happy,0mA7zotmg2ZFMRALljdZsS,Cloudy Day,Tones And I,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,185304,4
20,20,happy,4bsqIuMHtvLCzpYAyV3044,Best Of You (feat. Elle King),Elle King,0.653,0.623,9,-5.989,1,0.0938,0.0515,0.0,0.0869,0.48,175.884,185393,4
21,21,happy,76nqCfJOcFFWBJN32PAksn,Kings & Queens,Ava Max,0.638,0.688,1,-4.056,0,0.0407,0.00775,0.0,0.126,0.434,129.856,162399,4
22,22,happy,2IHLaN6wwYKQ3S24NsQqpA,I Love Me,Demi Lovato,0.664,0.561,6,-7.031,1,0.0495,0.00261,0.0,0.0764,0.713,150.093,203672,4
23,23,happy,5hlwCtGdtDBzXeMBJpD5IK,Toast,Smith & Thell,0.548,0.806,1,-7.249,1,0.0628,0.0448,0.0,0.126,0.749,189.996,178148,4
24,24,happy,1nAvS4GbkxR7iISU5ZfLPf,YES,BEN & TAN,0.563,0.583,7,-7.302,1,0.031,0.00658,0.0,0.102,0.525,91.899,180489,4
25,25,happy,6bQfNiqyCX7UaQSvVVGo4I,Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
26,26,happy,53kWAAfx7IopXRa31MQHB8,Good Vibes,Matoma,0.558,0.877,10,-3.392,1,0.145,0.274,0.0,0.162,0.762,99.988,170280,4
27,27,happy,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Ariana Grande,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
28,28,happy,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
29,29,happy,5iFQfP3AqVnHHS89LKQisL,Anyone For You (Tiger Lily),George Ezra,0.662,0.807,10,-3.285,1,0.0411,0.293,3.55e-06,0.189,0.772,103.031,187682,4
30,30,happy,3838GU9hh6VrvDi1f8jaU9,Broke Boy,Malia Civetz,0.796,0.694,8,-3.979,1,0.234,0.164,0.0,0.0703,0.847,98.005,172569,4
31,31,happy,2ntTfXxuIi3jlePOKSz26N,Risk It All,Just Kiddin,0.706,0.914,5,-5.668,0,0.0615,0.19,0.0,0.0886,0.299,124.03,178065,4
32,32,happy,4y3OI86AEP6PQoDE6olYhO,Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040,4
33,33,happy,7q0aQpiLv5tIsupcgQ3Ny4,Budapest,George Ezra,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,200733,4
34,34,happy,3FeVmId7tL5YN8B7R3imoM,My Universe,BTS,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4
35,35,happy,1fah1uAs7HeTYDlNftKr3K,Put Your Records On,Ritt Momney,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,210463,4
36,36,happy,3DXdjHnePKnh6oXw2ZgGSl,Smile,Katy Perry,0.783,0.912,0,-3.713,1,0.243,0.0238,0.0,0.339,0.749,98.025,166898,4
37,37,happy,4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072,4
38,38,happy,2VvHa9p1kkTmaCMq0exODA,Tangerine Skies,Declan J Donovan,0.756,0.815,6,-5.122,1,0.046,0.0578,2e-05,0.387,0.927,120.002,192000,4
39,39,happy,18RdChpgvaAO7GXDjLks2B,Friends,Ella Henderson,0.747,0.537,10,-5.76,1,0.0413,0.198,1.26e-05,0.18,0.453,97.056,178299,4
40,40,happy,6SFStUDQZNaGPKWOx9ZiJB,2002,Anne-Marie,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,186987,4
41,41,happy,6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,Willow Sage Hart,0.476,0.594,5,-6.879,1,0.135,0.0599,0.0,0.0785,0.314,159.702,141050,4
42,42,happy,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,Dua Lipa,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334,4
43,43,happy,7jqXDgGWkV4w2ctdb2g59o,At Least I Had Fun,RANI,0.794,0.706,5,-6.066,0,0.0382,0.198,0.0,0.0536,0.908,116.032,170614,4
44,44,happy,5id3Rqn7SPj1LX4FfY4nGz,Together,Sia,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007,205208,4
45,45,happy,0roOLcll6SSTYZwsQFmXqP,"Let Me Move You - From the Netflix film ""Work It""",Sabrina Carpenter,0.624,0.628,4,-6.582,0,0.0408,0.0112,0.0191,0.0814,0.772,114.556,147071,4
46,46,happy,0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,OneRepublic,0.759,0.605,7,-7.737,1,0.0433,0.156,0.0,0.694,0.64,121.049,158900,4
47,47,happy,3wYOGJYD31sLRmBgCvWxa4,I Found You,Andy Grammer,0.646,0.761,1,-2.557,1,0.0385,0.0714,0.0,0.222,0.472,129.916,167308,4
48,48,happy,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),SZA,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4
49,49,happy,3LEgGAl9zLcQWGTp7ptqtQ,Don’t Wake Me Up,Why Don't We,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015,188894,4
50,50,happy,6J7U49QGecWb3WqIqfSYc0,Year of the Young,Smith & Thell,0.611,0.88,7,-6.571,0,0.0378,0.000817,1.01e-05,0.0598,0.771,144.996,164200,4
51,51,happy,7GajHE5z66qqmzTrKVFCab,Take Care of You,Ella Henderson,0.66,0.667,11,-6.87,1,0.0474,0.141,5.26e-05,0.107,0.452,114.901,194235,4
52,52,happy,1gX4wETtMGvOB7u1proVfj,Call On Me,RAYE,0.582,0.889,0,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977,194880,4
53,53,happy,0939D7aT18uBDS2MTjWzct,Higher Power,Coldplay,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295,4
54,54,happy,5Ne1q9Hv3l2NHBA3Agt8WT,Wave of You,Surfaces,0.695,0.656,1,-6.038,1,0.0489,0.057,0.0,0.267,0.346,90.986,213842,4
55,55,happy,1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,177667,4
56,56,happy,02Ygu8lo3qSknRpcBnspso,Just Friends,Virginia To Vegas,0.793,0.714,7,-7.562,1,0.193,0.156,0.0,0.136,0.794,100.036,168947,4
57,57,happy,7xPIlYAQvOubFllPkn8XSL,Glorious,Ella Henderson,0.756,0.54,6,-5.456,1,0.125,0.155,0.0,0.0551,0.642,108.274,184800,4
58,58,happy,6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),Polo G,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4
59,59,happy,6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4
60,60,happy,7CTdh15dTO5HqoeqRPHFha,Good Luck,Galantis,0.696,0.792,0,-5.659,1,0.0494,0.113,0.0,0.0564,0.445,121.962,235418,4
61,61,happy,32DspJXRL1U3c9RwOhRJZE,C'est La Vie,Thomas Rhett,0.761,0.566,9,-7.923,1,0.0397,0.18,0.0,0.207,0.631,108.01,175436,4
62,62,happy,3OUlwrGsM6xGuA66YVpeGT,Smile,Benjamin Ingrosso,0.592,0.749,6,-6.165,0,0.0295,0.000618,0.00122,0.166,0.799,127.038,192921,4
63,63,happy,6oYXbji1rn7U6bFuNYekpQ,Run,Galantis,0.601,0.879,2,-2.673,0,0.0353,0.0313,0.0,0.0793,0.589,124.013,188732,4
64,64,happy,3ZozFqJJlDBNIm4xqxn2ZD,Fancy Like,Walker Hayes,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,161853,4
65,65,happy,15kQGEy89K8deJcZVFEn0N,This Feeling (feat. Kelsea Ballerini),Kelsea Ballerini,0.539,0.651,1,-5.304,1,0.0432,0.0651,0.0,0.0662,0.474,105.159,199227,4
66,66,happy,3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,137876,4
67,67,happy,2SUxn2O9NHL6GHGQFgwCY0,2step,Ed Sheeran,0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002,153627,4
68,68,happy,0DC7Zs2qvAbNK1owWQ4mlL,Perfect to Me,Anne-Marie,0.604,0.546,8,-5.691,1,0.151,0.0889,0.0,0.0734,0.402,179.847,197853,4
69,69,happy,1GkHyypTFkUf0QQKwYoXH4,You (with Marshmello & Vance Joy),Vance Joy,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,169632,4
70,70,happy,78nplE9X2ZGvQh3TKgvldE,Rewrite The Stars (with James Arthur & Anne-Marie),Anne-Marie,0.67,0.743,10,-4.993,1,0.0393,0.237,0.0,0.465,0.571,125.944,218293,4
71,71,happy,5pE4OLVJh5rjaLERbUgBB2,Be Kind,Zak Abel,0.929,0.67,8,-3.977,1,0.0488,0.068,0.0,0.318,0.938,120.935,181516,4
72,72,happy,73QyyUMMvtNELmULI4FOsp,You for Me,Rita Ora,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81e-06,0.191,0.696,126.031,175435,4
73,73,happy,73h4oe03sZy8bXfQLfnqMv,Who's Laughing Now,Ava Max,0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,180348,4
74,74,happy,5NUXE8W12lWcUXgJRCjeEw,One Too Many,P!nk,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,203893,4
75,75,happy,0z4kyKuFGmUV7WQ7gB1sAp,Goliath,Smith & Thell,0.528,0.833,9,-6.19,1,0.0514,0.000414,1.23e-06,0.068,0.46,127.998,204759,4
76,76,happy,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4
77,77,happy,45S5WTQEGOB1VHr1Q4FuPl,Golden,Harry Styles,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4
78,78,happy,3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242947,4
79,79,happy,3Dzso9Q2WwupEclqgxBZht,Pumped Up Kicks,Felix Samuel,0.669,0.687,0,-4.753,1,0.043,0.152,1.6e-05,0.308,0.386,123.903,145161,4
80,80,happy,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4
81,81,happy,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4
82,82,happy,2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),Anne-Marie,0.717,0.73,9,-4.729,0,0.0568,0.383,0.0,0.398,0.792,102.002,251173,4
83,83,happy,2796m8y7tOCTUsTQfjmeI4,Shape of You,Kid On The Block,0.81,0.636,1,-6.072,0,0.0487,0.303,0.0,0.131,0.687,101.966,157647,4
84,84,happy,0v1x6rN6JHRapa03JElljE,Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
85,85,happy,5jE48hhRu8E6zBDPRSkEq7,All About That Bass,Meghan Trainor,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920,4
